0.002  2.08248e-08 3.99988
0.003  7.73482e-08 3.99966
0.004  1.87417e-07 3.99935
0.005  3.68876e-07 3.99895
0.006  6.39565e-07 3.99845
0.007  1.01732e-06 3.99787
0.008  1.51997e-06 3.99719
0.009  2.16534e-06 3.99643
0.01  2.97124e-06 3.99557
0.011  3.95548e-06 3.99463
0.012  5.13587e-06 3.99359
0.013  6.53018e-06 3.99247
0.014  8.15619e-06 3.99125
0.015  1.00317e-05 3.98995
0.016  1.21744e-05 3.98855
0.017  1.4602e-05 3.98707
0.018  1.73323e-05 3.9855
0.019  2.0383e-05 3.98383
0.02  2.37718e-05 3.98208
0.021  2.75162e-05 3.98024
0.022  3.16341e-05 3.97831
0.023  3.6143e-05 3.97629
0.024  4.10605e-05 3.97418
0.025  4.64042e-05 3.97198
0.026  5.21917e-05 3.96969
0.027  5.84405e-05 3.96732
0.028  6.51682e-05 3.96485
0.029  7.23921e-05 3.9623
0.03  8.01299e-05 3.95966
0.031  8.83989e-05 3.95693
0.032  9.72165e-05 3.95412
0.033  0.0001066 3.95121
0.034  0.000116567 3.94822
0.035  0.000127135 3.94514
0.036  0.00013832 3.94197
0.037  0.000150141 3.93872
0.038  0.000162615 3.93538
0.039  0.000175758 3.93195
0.04  0.000189587 3.92843
0.041  0.000204121 3.92483
0.042  0.000219375 3.92114
0.043  0.000235368 3.91736
0.044  0.000252115 3.9135
0.045  0.000269635 3.90956
0.046  0.000287943 3.90552
0.047  0.000307057 3.9014
0.048  0.000326994 3.8972
0.049  0.000347769 3.89291
0.05  0.000369401 3.88854
0.051  0.000391906 3.88408
0.052  0.0004153 3.87954
0.053  0.0004396 3.87491
0.054  0.000464823 3.8702
0.055  0.000490984 3.8654
0.056  0.000518101 3.86053
0.057  0.00054619 3.85556
0.058  0.000575267 3.85052
0.059  0.000605349 3.84539
0.06  0.000636452 3.84018
0.061  0.000668591 3.83489
0.062  0.000701783 3.82951
0.063  0.000736045 3.82406
0.064  0.000771391 3.81852
0.065  0.000807839 3.8129
0.066  0.000845403 3.8072
0.067  0.000884101 3.80142
0.068  0.000923946 3.79556
0.069  0.000964957 3.78961
0.07  0.00100715 3.78359
0.071  0.00105053 3.77749
0.072  0.00109513 3.77131
0.073  0.00114095 3.76505
0.074  0.00118802 3.75871
0.075  0.00123634 3.7523
0.076  0.00128593 3.7458
0.077  0.00133681 3.73923
0.078  0.001389 3.73258
0.079  0.0014425 3.72585
0.08  0.00149733 3.71905
0.081  0.00155351 3.71217
0.082  0.00161106 3.70521
0.083  0.00166998 3.69818
0.084  0.00173029 3.69107
0.085  0.00179201 3.68389
0.086  0.00185515 3.67663
0.087  0.00191972 3.6693
0.088  0.00198574 3.66189
0.089  0.00205323 3.65441
0.09  0.0021222 3.64686
0.091  0.00219265 3.63923
0.092  0.00226462 3.63154
0.093  0.0023381 3.62376
0.094  0.00241312 3.61592
