0.011  5.66684e-06 0.996376
0.021  3.9329e-05 0.987665
0.031  0.000125741 0.973748
0.041  0.000288375 0.954873
0.051  0.000548878 0.93139
0.061  0.000926588 0.903731
0.071  0.00143815 0.872387
0.081  0.00209719 0.837892
0.091  0.00291417 0.800808
0.101  0.00389623 0.761707
0.111  0.00504724 0.721155
0.121  0.00636787 0.679698
0.131  0.00785579 0.63785
0.141  0.00950589 0.596084
0.151  0.0113106 0.554824
0.161  0.0132602 0.514442
0.171  0.0153432 0.475254
0.181  0.0175467 0.43752
0.191  0.0198567 0.401446
0.201  0.0222586 0.367186
0.211  0.0247374 0.334849
0.221  0.0272779 0.304497
0.231  0.0298651 0.276159
0.241  0.0324846 0.249829
0.251  0.0351224 0.225475
0.261  0.0377653 0.203042
0.271  0.040401 0.182458
0.281  0.043018 0.163639
0.291  0.045606 0.14649
0.301  0.0481556 0.130911
0.311  0.0506586 0.116799
0.321  0.0531076 0.104049
0.331  0.0554962 0.0925576
0.341  0.0578193 0.0822243
0.351  0.0600724 0.0729516
0.361  0.0622519 0.064647
0.371  0.0643551 0.0572226
0.381  0.0663799 0.0505962
0.391  0.0683249 0.0446912
0.401  0.0701894 0.0394366
0.411  0.0719732 0.0347671
0.421  0.0736764 0.0306226
0.431  0.0752998 0.0269484
0.441  0.0768444 0.0236947
0.451  0.0783115 0.0208163
0.461  0.0797027 0.0182724
0.471  0.0810199 0.0160262
0.481  0.0822651 0.0140446
0.491  0.0834405 0.0122978
0.501  0.0845484 0.0107593
0.511  0.0855911 0.00940538
0.521  0.086571 0.00821469
0.531  0.0874907 0.00716838
0.541  0.0883527 0.00624962
0.551  0.0891594 0.00544346
0.561  0.0899134 0.00473663
0.571  0.090617 0.00411735
0.581  0.0912728 0.00357519
0.591  0.0918831 0.00310093
0.601  0.0924503 0.0026864
0.611  0.0929766 0.00232438
0.621  0.0934642 0.00200849
0.631  0.0939153 0.00173312
0.641  0.0943319 0.00149329
0.651  0.0947161 0.00128463
0.661  0.0950698 0.00110329
0.671  0.0953948 0.000945875
0.681  0.0956929 0.000809389
0.691  0.0959659 0.000691206
0.701  0.0962153 0.000589015
0.711  0.0964427 0.000500783
0.721  0.0966496 0.000424725
0.731  0.0968375 0.000359274
0.741  0.0970076 0.000303056
0.751  0.0971612 0.000254863
0.761  0.0972996 0.00021364
0.771  0.097424 0.000178459
0.781  0.0975353 0.000148512
0.791  0.0976347 0.000123088
0.801  0.0977231 0.000101569
0.811  0.0978014 8.34133e-05
0.821  0.0978705 6.8149e-05
0.831  0.0979313 5.53648e-05
0.841  0.0979844 4.47026e-05
0.851  0.0980306 3.58512e-05
0.861  0.0980706 2.85403e-05
0.871  0.098105 2.25355e-05
0.881  0.0981344 1.76341e-05
0.891  0.0981594 1.36608e-05
0.901  0.0981803 1.04648e-05
0.911  0.0981978 7.91611e-06
0.921  0.0982122 5.90355e-06
0.931  0.098224 4.33192e-06
0.941  0.0982334 3.12018e-06
0.951  0.0982409 2.19956e-06
0.961  0.0982468 1.51204e-06
0.971  0.0982512 1.00887e-06
0.981  0.0982545 6.49428e-07
0.991  0.0982569 4.00085e-07
1.001  0.0982586 2.33294e-07
1.011  0.0982597 1.26754e-07
1.021  0.0982604 6.26868e-08
1.031  0.0982608 2.72046e-08
1.041  0.098261 9.75672e-09
1.051  0.0982611 2.65804e-09
